classify,name,comment,star,price,address,commentlist
美食,望蓉城老坛酸菜鱼(合生汇店),我要点评,该商户暂无星级,人均                                        ￥125,翔殷路1099号合生汇5F,口味8.3                                环境8.4                                服务8.5
美食,泰国街边料理,74                    条点评,准四星商户,人均                                        ￥48,黄兴路合生汇B2美食集市内,口味7.4                                环境7.6                                服务7.4
美食,壹面如故(苏宁生活广场店),265                    条点评,准四星商户,人均                                        ￥21,邯郸路585号苏宁生活广场B1层,口味7.0                                环境7.2                                服务7.2
美食,鮨谷•Aburiya(合生汇店),2748                    条点评,准五星商户,人均                                        ￥142,翔殷路1099号合生广场5楼23、28铺位,口味8.9                                环境8.5                                服务8.4
美食,我们的烤肉我们的馕,5                    条点评,准四星商户,人均                                    -,邯郸路399-D3号,口味7.5                                环境6.8                                服务7.5
美食,麦当劳(万达店),785                    条点评,准四星商户,人均                                        ￥24,邯郸路600号万达商业广场B1楼A05号铺,口味7.4                                环境7.2                                服务7.2
美食,蒸年青STEAMYOUNG(百联又一城购物中心店),3779                    条点评,准五星商户,人均                                        ￥70,淞沪路8号百联又一城购物中心7层,口味8.6                                环境8.6                                服务8.6
美食,丸来玩趣(百联又一城购物中心店),458                    条点评,准四星商户,人均                                        ￥14,淞沪路8号百联又一城购物中心B1层,口味7.0                                环境6.5                                服务6.5
美食,韩国雪冰(合生汇店),1280                    条点评,四星商户,人均                                        ￥47,翔殷路1099号合生汇4F,口味7.7                                环境7.5                                服务7.6
美食,小菜园新徽菜(五角场万达广场店),85                    条点评,准五星商户,人均                                        ￥81,邯郸路600号万达商业广场特力时尚汇3层,口味8.5                                环境8.9                                服务9.0
美食,生日聚汇(杨浦店),2                    条点评,准四星商户,人均                                    -,淞沪路8号百联又一城6楼,口味7.0                                环境7.0                                服务7.0
美食,阿满鸡排(合生汇店),30                    条点评,四星商户,人均                                        ￥17,翔殷路1099号合生汇4层,口味7.9                                环境8.0                                服务7.7
美食,莆田餐厅(百联又一城购物中心店),988                    条点评,四星商户,人均                                        ￥150,淞沪路8号百联又一城购物中心7层,口味8.0                                环境8.4                                服务8.0
美食,旬彩(百联又一城购物中心店),152                    条点评,准四星商户,人均                                        ￥16,淞沪路8号百联又一城购物中心B1层,口味7.2                                环境7.1                                服务7.2
美食,吴茂兴本帮面(五角场店),72                    条点评,准四星商户,人均                                        ￥21,政旦东路34号,口味7.4                                环境7.4                                服务7.6
美食,雀舞云南菜(合生汇店),3627                    条点评,四星商户,人均                                        ￥99,翔殷路1099号合生汇5F,口味8.0                                环境8.5                                服务8.6
美食,开心膳(joyeusesalade悦沙拉五角场店),4                    条点评,准四星商户,人均                                    -,邯郸路600号四楼D-001,口味7.4                                环境7.4                                服务7.4
美食,阳光客(城市集市合生汇店),336                    条点评,准四星商户,人均                                        ￥79,黄兴路2228号合生汇B2层城市集市C8商户,口味7.1                                环境7.6                                服务7.7
美食,越打星YuetDaSing(合生汇店),264                    条点评,四星商户,人均                                        ￥48,翔殷路1099号合生汇B2城市集市C9,口味8.0                                环境7.7                                服务7.8
美食,鲜榨果汁 Juice Bar(巴黎春天五角场店),4                    条点评,三星商户,人均                                    -,淞沪路1号巴黎春天B1层,口味6.8                                环境6.8                                服务6.9
美食,MAKA MAKA玛卡玛卡滋蛋仔(五角场店),67                    条点评,四星商户,人均                                        ￥26,邯郸路399号D15-1号,口味8.2                                环境8.4                                服务8.4
美食,城市集市(合生汇店),226                    条点评,准五星商户,人均                                        ￥47,黄兴路2228号合生汇B2层城市集市,口味8.4                                环境8.5                                服务8.2
美食,甜蜜食堂(杨浦店),2                    条点评,准四星商户,人均                                    -,淞沪路100号,口味7.2                                环境7.2                                服务7.2
美食,许留山(合生汇店),375                    条点评,三星商户,人均                                        ￥35,翔殷路1099号合生汇4F,口味6.9                                环境7.2                                服务6.5
美食,汉蒸坊蒸汽海鲜主题餐厅(合生汇店),830                    条点评,四星商户,人均                                        ￥165,翔殷路1099号合生汇5F,口味7.9                                环境7.7                                服务7.9
美食,千里香馄饨面,15                    条点评,准四星商户,人均                                        ￥14,国定路125号,口味7.2                                环境7.1                                服务7.1
美食,REGENCY CLUB,1                    条点评,准四星商户,人均                                    -,国定东路86号,口味7.6                                环境7.2                                服务7.6
美食,星巴克(又一城店),1113                    条点评,四星商户,人均                                        ￥36,淞沪路8号,口味7.6                                环境7.4                                服务7.4
美食,TEPPANYAKI XIANG,我要点评,准四星商户,人均                                    -,淞沪路77号特力时尚汇F4,口味6.5                                环境6.9                                服务6.9
美食,百武西茶饮(合生汇店),33                    条点评,准四星商户,人均                                        ￥18,翔殷路1099号合生汇4层,口味6.9                                环境7.2                                服务7.1
美食,烧腊馆,3                    条点评,准四星商户,人均                                    -,邯郸路600号万达商业广场第一食品2楼,口味6.9                                环境7.0                                服务6.9
美食,夏の心情,2                    条点评,准四星商户,人均                                    -,淞沪路8号3层,口味6.9                                环境6.9                                服务6.9
休闲娱乐,梦想空间Dream Space影吧(五角场店),957                    条点评,五星商户,人均                                        ￥106,政旦东路36号4楼国济路口,总分9.3                                环境9.2                                服务9.1
美食,i juice果之满满(特力时尚汇店),7                    条点评,三星商户,人均                                    -,邯郸路600号万达商业广场特力时尚汇1层,口味6.8                                环境6.8                                服务6.7
休闲娱乐,快乐菲莉HappyFeelingDIY烘焙(合生汇店),174                    条点评,五星商户,人均                                        ￥116,五角场街道翔殷路1099号合生汇4楼25号,口味8.1                                环境8.0                                服务7.8
美食,意大利尚尼(东方商厦杨浦店),3                    条点评,三星商户,人均                                    -,四平路2500号东方商厦B1层,口味6.9                                环境6.8                                服务6.8
休闲娱乐,网鱼网咖(东方商厦店),126                    条点评,四星商户,人均                                        ￥30,四平路2500号东方商厦1楼,口味7.3                                环境7.5                                服务8.0
美食,刘氏无明矾油条(四平路店),3                    条点评,三星商户,人均                                    -,四平路2138附近,口味6.6                                环境6.6                                服务6.6
休闲娱乐,自助茶馆,7                    条点评,三星商户,人均                                    -,淞沪路65号,口味7.8                                环境7.7                                服务8.1
美食,江西近邻小厨,我要点评,该商户暂无星级,人均                                    -,安图路15号第一间,口味7.1                                环境7.1                                服务7.1
休闲娱乐,皇后酒吧,2                    条点评,四星商户,人均                                    -,淞沪路97号,口味7.7                                环境7.7                                服务7.5
美食,澳琳达,我要点评,该商户暂无星级,人均                                    -,淞沪路8号百联又一城购物中心B1,
休闲娱乐,爱车俱乐部 PPTV聚力游戏(苏宁生活广场店),我要点评,准四星商户,人均                                    -,邯郸路585号苏宁生活广场B1层,口味6.9                                环境6.8                                服务6.9
美食,苏州好再来,我要点评,该商户暂无星级,人均                                    -,国定路171一楼235摊位,口味6.9                                环境6.9                                服务6.9
休闲娱乐,单行道,我要点评,该商户暂无星级,人均                                    -,国定路与政法路交叉口西50米,
美食,Eimio(百联又一城店),我要点评,该商户暂无星级,人均                                    -,淞沪路8号百联又一城B1层,口味7.8                                环境8.0                                服务7.3
休闲娱乐,ppg酒吧,我要点评,该商户暂无星级,人均                                    -,淞沪路88号,总分6.3                                环境6.1                                服务5.9
美食,肯德基(万达店),16114                    条点评,四星商户,人均                                        ￥26,邯郸路608弄50号,口味8.2                                环境8.0                                服务7.9
购物,千百艺,我要点评,该商户暂无星级,人均                                        ￥268,五角场,质量7.6                                环境7.5                                服务7.2
购物,润re(百联又一城购物中心店),61                    条点评,五星商户,人均                                        ￥185,淞沪路8号百联又一城购物中心B1层,质量9.3                                环境9.3                                服务9.3
购物,名创优品(合生汇店),96                    条点评,准四星商户,人均                                        ￥45,翔殷路1099号合生汇B2层,质量7.9                                环境7.8                                服务7.1
购物,ETUDEHOUSE(百联又一城店),9                    条点评,准四星商户,人均                                    -,淞沪路8号百联又一城B1层,效果7.3                                环境7.2                                服务7.2
购物,智慧微菜场,1                    条点评,准四星商户,人均                                    -,国宾路85号,质量7.0                                环境6.9                                服务7.2
购物,adidas(合生汇店),13                    条点评,准四星商户,人均                                        ￥762,翔殷路1099号合生汇B1层,质量7.6                                环境7.6                                服务7.3
购物,izzue(合生汇店),9                    条点评,准四星商户,人均                                    -,黄兴路2228号上海合生国际广场地下一层B1-04-05号房屋,质量7.4                                环境7.2                                服务7.0
购物,添香防辐射服(宝大祥五角场店),52                    条点评,准四星商户,人均                                        ￥660,邯郸路600号万达商业广场内1楼童装区,质量7.1                                环境7.0                                服务7.1
购物,CHARLES & KEITH(百联又一城店),132                    条点评,准四星商户,人均                                        ￥409,淞沪路百联又一城B1楼,质量7.6                                环境7.8                                服务7.5
购物,蒸汽主义电子烟(百联又一城店),12                    条点评,四星商户,人均                                        ￥602,淞沪路8号百联又一城5层,质量7.9                                环境7.9                                服务7.9
购物,Avene(巴黎春天五角场店),54                    条点评,准四星商户,人均                                        ￥291,淞沪路1号巴黎春天1层,效果7.1                                环境6.9                                服务7.0
购物,HARBOR HOUSE(合生汇店),2                    条点评,准四星商户,人均                                    -,翔殷路1099号合生汇L2-13,产品6.9                                环境6.9                                服务6.9
购物,悦诗风吟五角场店,3                    条点评,准四星商户,人均                                    -,邯郸路662号,效果7.1                                环境7.1                                服务7.1
购物,SENDA森达(五角场又一城店),3                    条点评,准四星商户,人均                                    -,淞沪路8号又一城2楼,质量7.9                                环境7.9                                服务7.9
购物,ElizabethArden(巴黎春天店),41                    条点评,四星商户,人均                                        ￥513,淞沪路1号巴黎春天1层,效果7.7                                环境8.2                                服务7.7
购物,爱屋集物(五角场店),5                    条点评,三星商户,人均                                    -,淞沪路77号万达广场B1层,质量7.4                                环境7.3                                服务7.4
购物,AUPRES(巴黎春天店),11                    条点评,准四星商户,人均                                    -,淞沪路1号巴黎春天1层,效果7.5                                环境7.6                                服务7.5
购物,同仁堂上海(百联又一城店),7                    条点评,准四星商户,人均                                    -,淞沪路8号百联又一城B1层,质量7.5                                环境7.5                                服务7.1
购物,中国黄金(五角场),52                    条点评,四星商户,人均                                        ￥7313,淞沪路111号五角场万达广场珠宝城1楼,质量7.2                                环境7.2                                服务7.2
购物,熊本熊酷ma萌授权专卖店(五角场店),1                    条点评,三星商户,人均                                    -,特力时尚汇三楼,质量6.0                                环境6.0                                服务6.0
购物,金伯利钻石(五角场店),51                    条点评,五星商户,人均                                        ￥8505,淞沪路77号万达广场1层A-7号,质量7.0                                环境6.9                                服务6.6
购物,me&city kids,我要点评,三星商户,人均                                    -,淞沪路1号万达广场B1,质量7.0                                环境7.0                                服务6.6
购物,eland(扬族百货店),3                    条点评,准四星商户,人均                                    -,淞沪路8号扬族百货2层,质量7.5                                环境7.3                                服务7.5
购物,Calvin Klein(百联又一城购物中心店),9                    条点评,四星商户,人均                                    -,淞沪路8号百联又一城购物中心B1层,质量7.9                                环境7.9                                服务7.9
购物,teenmix天美意(川沙百联购物中心店),37                    条点评,准五星商户,人均                                        ￥315,川沙路5398号百联购物中心1楼,质量8.4                                环境8.4                                服务8.4
购物,圣迪奥(巴黎春天五角场店),21                    条点评,准四星商户,人均                                        ￥740,淞沪路1号巴黎春天3层,质量7.2                                环境7.1                                服务7.2
购物,PUMA(扬族百货店),19                    条点评,三星商户,人均                                    -,淞沪路8号百联又一城扬族百货5层,质量6.8                                环境6.7                                服务6.0
购物,Samsonite(合生汇店),7                    条点评,准四星商户,人均                                    -,翔殷路1099号合生汇2F,质量7.7                                环境7.7                                服务7.5
购物,周大生珠宝(巴黎春天店),2                    条点评,准四星商户,人均                                    -,淞沪路1号巴黎春天1层,质量7.4                                环境7.1                                服务7.7
购物,EVISU(合生汇店),13                    条点评,准四星商户,人均                                    -,翔殷路1099号合生汇2层,质量7.7                                环境7.9                                服务7.0
购物,SU素原创时尚银饰店(五角场万达店),11                    条点评,准四星商户,人均                                    -,邯郸路600号万达商业广场B1楼,质量7.0                                环境7.0                                服务7.0
购物,谭木匠(542店),36                    条点评,准四星商户,人均                                        ￥288,中环路七味烘焙旁,质量7.1                                环境6.8                                服务6.8
购物,上海复升唐装,1                    条点评,准四星商户,人均                                    -,政旦东路30-40号,质量7.3                                环境7.3                                服务7.3
美食,CandyLab糖果研究室(百联又一城购物中心店),170                    条点评,准四星商户,人均                                        ￥45,淞沪路8号百联又一城购物中心B1层,口味7.0                                环境7.2                                服务7.2
购物,RAPIDO(百联又一城店),1                    条点评,准四星商户,人均                                    -,淞沪路8号百联又一城5层5F-9,质量7.2                                环境7.2                                服务7.2
美食,和番の丼飯(五角场店),5                    条点评,准四星商户,人均                                    -,国权东路172号,口味7.0                                环境7.2                                服务7.2
购物,口口照片书,2                    条点评,准四星商户,人均                                    -,淞沪路1号附近,质量7.2                                环境7.2                                服务7.2
美食,塔哈尔(五角场店),11168                    条点评,四星商户,人均                                        ￥131,政通路189号万达商业广场特力时尚汇4楼409B号铺,口味8.3                                环境8.4                                服务8.5
购物,亚一珠宝,1                    条点评,准四星商户,人均                                    -,百联又一城1楼,质量7.2                                环境7.2                                服务7.2
美食,Mr Nice好好先生餐厅(五角场店),11169                    条点评,四星商户,人均                                        ￥133,淞沪路8号百联又一城4楼S4-T25室,口味8.3                                环境8.4                                服务8.5
购物,Venilla Suite(合生国际店),我要点评,准四星商户,人均                                    -,黄兴路2228号上海合生国际广场地下一层B1-06-07-08号房屋,质量7.0                                环境6.9                                服务6.8
美食,洞子张老匠火锅(三号湾广场店),7276                    条点评,四星商户,人均                                        ￥86,国定路333号三号湾广场2层,口味8.3                                环境8.4                                服务8.5
购物,千姿花卉(五角场店),1                    条点评,准四星商户,人均                                    -,四平路2500号金岛大厦15楼,质量7.5                                环境7.1                                服务7.1
美食,鹿港小镇(特力时尚汇店),205                    条点评,四星商户,人均                                        ￥92,政通路189号特力时尚汇4F-2-A,口味8.3                                环境8.4                                服务8.5
购物,利郎,1                    条点评,准四星商户,人均                                    -,四平路2500号,质量7.1                                环境7.1                                服务7.1
美食,辣府(五角场店),886                    条点评,准四星商户,人均                                        ￥84,淞沪路98号平盛大厦3楼,口味8.3                                环境8.4                                服务8.5
购物,RobertadiCamerino(巴黎春天店),3                    条点评,准四星商户,人均                                    -,淞沪路1号巴黎春天1层,质量7.1                                环境6.9                                服务7.0
美食,王妃家(五角场店),783                    条点评,五星商户,人均                                        ￥235,政通路189号特力时尚汇1楼16-B,口味8.3                                环境8.4                                服务8.5
美食,爱咪欧冻酸奶Eimio(百联又一城购物中心店),774                    条点评,四星商户,人均                                        ￥24,淞沪路8号百联又一城购物中心B1层,口味7.0                                环境7.2                                服务7.2
美食,海底捞火锅(五角场店),8152                    条点评,五星商户,人均                                        ￥352,邯郸路585号苏宁电器五层,口味8.3                                环境8.4                                服务8.5
美食,西树泡芙(第一食品店),54                    条点评,准四星商户,人均                                        ￥27,邯郸路600号第一食品1F,口味7.0                                环境7.2                                服务7.2
